"estimate","lb_ci","ub_ci","calculation","adjust"
9.56803999394231,8.30660086877743,10.8294791191072,"N_pos","unadjusted"
97.4507982742348,96.7065790444029,98.1950175040667,"S_pos","unadjusted"
97.6468503929716,96.9386151191498,98.3550856667934,"S_N_pos","unadjusted"
2.03670741227494,1.28829038475739,2.78512443979249,"Negative_Positive","unadjusted"
100,100,100,"Positive_Positive","unadjusted"
5.36452922159242,2.63384755236208,8.09521089082276,"Negative_Positive_Non_vax","unadjusted"
1.6901389970039,0.964710402828535,2.41556759117927,"Negative_Positive_Vax","unadjusted"
25.5389712707916,16.4835247777987,34.5944177637846,"Non_vax","unadjusted"
8.91959981347354,7.61813643878435,10.2210631881627,"Vax","unadjusted"
7.65312876188634,1.54934658408361,13.7569109396891,"S1_neg","unadjusted"
9.61712162152836,8.33509843377801,10.8991448092787,"S1_pos","unadjusted"
3.18610904371544,1.2024073018744,5.16981078555648,"Ratio","unadjusted"
10.5166417044215,9.08840521428865,11.9448781945544,"N_pos","adjusted"
1.98945731804994,1.14207872703179,2.83683590906808,"Negative_Positive","adjusted"
112.906224030092,112.906224030092,112.906224030092,"Positive_Positive","adjusted"
5.75730980170118,2.66555600627166,8.8490635971307,"Negative_Positive_Non_vax","adjusted"
1.59706291142097,0.775712464524334,2.41841335831761,"Negative_Positive_Vax","adjusted"
28.5993746528068,18.346546071762,38.8522032338516,"Non_vax","adjusted"
9.78245968252428,8.30890662299027,11.2560127420583,"Vax","adjusted"
8.34852590523051,1.4376538225041,15.2593979879569,"S1_neg","adjusted"
10.5722132893795,9.12067095062247,12.0237556281366,"S1_pos","adjusted"
97.6647041998451,96.8061341817334,98.5232742179568,"S_N_pos","adjusted"
